pr,skip,identifiers,comment,vin
,,,2019 Ford Edge SE,2FMPK4G97KBB13204
,,,2018 Ford Edge SE,2FMPK3G91JBC58005
,,,2019 Ford Edge SE,2FMPK3G96KBB67135
,,,2019 Ford Edge SE,2FMPK4G90KBB77293
,,,2019 Ford Edge SE,2FMPK3G90KBB57264
,,,2019 Ford Edge SE,2FMPK4G95KBB57203
,,,2019 Ford Edge SE,2FMPK4G91KBB89677
,,,2018 Ford Edge SE,2FMPK3G97JBB85495
,,,2020 Ford Edge SE,2FMPK3G99LBA91346
,,,2023 Ford Edge SE,2FMPK4G93PBA04679
,,,2019 Ford Edge SE,2FMPK4G93KBB89695
,,,2020 Ford Edge SE,2FMPK4G96LBB46289
,,,2021 Ford Edge SE,2FMPK3G95MBA64808
,,,2020 Ford Edge SE,2FMPK4G93LBB16683
,,,2022 Ford Edge SE,2FMPK4G92NBA99880
,,,2020 Ford Edge SE,2FMPK3G95LBA34013
,,,2019 Ford Edge SEL,2FMPK4J96KBC26585
,,,2020 Ford Edge SEL,2FMPK3J93LBA57833
,,,2021 Ford Edge SEL,2FMPK3J94MBA58782
,,,2022 Ford Edge SEL,2FMPK4J98NBA96961
,,,2019 Ford Edge SEL,2FMPK3J92KBC62056
,,,2018 Ford Edge SEL,2FMPK4J84JBB21386
,,,2018 Ford Edge SEL,2FMPK4J94JBC02798
,,,2018 Ford Edge SEL,2FMPK4J98JBB90963
,,,2020 Ford Edge SEL,2FMPK4J92LBB65429
,,,2020 Ford Edge SEL,2FMPK4J91LBA64530
